hA,hB,bankA,bankB,shA,shB,turn,to_move,value
1,1,0,0,0,0,7,0,0.986396
1,1,0,0,0,1,7,0,0.398000
1,1,0,0,0,2,7,0,0.199000
1,1,0,0,0,3,7,0,0.066333
1,1,0,0,1,0,6,1,-0.041094
1,1,0,0,2,0,6,1,-0.222687
1,1,0,1,0,0,7,0,0.663333
1,1,0,1,0,1,7,0,0.398000
1,1,0,1,0,2,7,0,0.199000
1,1,0,2,0,0,7,0,0.663333
1,1,0,2,0,1,7,0,0.398000
1,1,0,3,0,0,7,0,0.663333
1,1,1,0,0,0,6,1,-0.428696
1,1,1,0,0,0,7,0,0.994873
1,1,1,0,0,1,7,0,0.497500
1,1,1,0,0,2,7,0,0.298500
1,1,1,0,0,3,7,0,0.149250
1,1,1,0,1,0,6,1,-0.484306
1,1,1,1,0,0,7,0,0.746250
1,1,1,1,0,1,7,0,0.497500
1,1,1,1,0,2,7,0,0.298500
1,1,1,2,0,0,7,0,0.746250
1,1,1,2,0,1,7,0,0.497500
1,1,1,3,0,0,7,0,0.746250
1,1,2,0,0,0,6,1,-0.671314
1,1,2,0,0,1,7,0,0.597000
1,1,2,0,0,2,7,0,0.398000
1,1,2,0,0,3,7,0,0.238800
1,1,2,1,0,0,7,0,0.796000
1,1,2,1,0,1,7,0,0.597000
1,1,2,1,0,2,7,0,0.398000
1,1,2,2,0,0,7,0,0.796000
1,1,2,2,0,1,7,0,0.597000
1,1,2,3,0,0,7,0,0.796000
1,2,0,0,0,0,5,0,0.994342
1,2,0,0,0,0,7,0,0.398000
1,2,0,0,0,1,7,0,0.199000
1,2,0,0,0,2,7,0,0.066333
1,2,0,0,0,3,7,0,0.000000
1,2,0,0,2,0,6,1,0.091905
1,2,0,0,3,0,6,1,0.231006
1,2,0,1,0,0,7,0,0.398000
1,2,0,1,0,1,7,0,0.199000
1,2,0,1,0,2,7,0,0.066333
1,2,0,2,0,0,7,0,0.398000
1,2,0,2,0,1,7,0,0.199000
1,2,0,3,0,0,7,0,0.398000
1,2,1,0,0,0,7,0,0.497500
